Id,PostId,VoteTypeId,CreationDate
1966148,649510,3,2009-03-16T00:00:00.000
1966210,649510,3,2009-03-16T00:00:00.000
1966278,649523,2,2009-03-16T00:00:00.000
1973914,649537,2,2009-03-16T00:00:00.000
1973915,649537,1,2009-03-16T00:00:00.000
1986257,656489,2,2009-03-18T00:00:00.000
1986258,656488,2,2009-03-18T00:00:00.000
1986276,656492,2,2009-03-18T00:00:00.000
1986311,656489,2,2009-03-18T00:00:00.000
1986314,656483,2,2009-03-18T00:00:00.000
1986317,656483,2,2009-03-18T00:00:00.000
1986377,656488,2,2009-03-18T00:00:00.000
1986402,656489,2,2009-03-18T00:00:00.000
1986456,656509,2,2009-03-18T00:00:00.000
1986457,656492,2,2009-03-18T00:00:00.000
1986459,656489,2,2009-03-18T00:00:00.000
1986460,656507,2,2009-03-18T00:00:00.000
1986462,656483,2,2009-03-18T00:00:00.000
1986492,656489,2,2009-03-18T00:00:00.000
1986553,656489,2,2009-03-18T00:00:00.000
1986554,656492,2,2009-03-18T00:00:00.000
1986555,656488,2,2009-03-18T00:00:00.000
1986621,656489,2,2009-03-18T00:00:00.000
1986623,656492,2,2009-03-18T00:00:00.000
1986624,656509,2,2009-03-18T00:00:00.000
1986647,656489,2,2009-03-18T00:00:00.000
1986745,656489,1,2009-03-18T00:00:00.000
1986793,656489,2,2009-03-18T00:00:00.000
1986794,656492,2,2009-03-18T00:00:00.000
1986810,656507,2,2009-03-18T00:00:00.000
1986822,656507,2,2009-03-18T00:00:00.000
1987176,656489,2,2009-03-18T00:00:00.000
1987201,656489,2,2009-03-18T00:00:00.000
1987284,656492,2,2009-03-18T00:00:00.000
1990105,256294,2,2009-03-18T00:00:00.000
1990531,656489,2,2009-03-18T00:00:00.000
2001874,253063,2,2009-03-19T00:00:00.000
2005625,207084,2,2009-03-19T00:00:00.000
2006227,163585,2,2009-03-19T00:00:00.000
2006229,163550,2,2009-03-19T00:00:00.000
2025364,670197,2,2009-03-21T00:00:00.000
2025420,670243,2,2009-03-21T00:00:00.000
2025421,670239,2,2009-03-21T00:00:00.000
2025465,670243,1,2009-03-22T00:00:00.000
2025606,670243,2,2009-03-22T00:00:00.000
2026886,670239,2,2009-03-22T00:00:00.000
2026887,670243,2,2009-03-22T00:00:00.000
2026889,670197,2,2009-03-22T00:00:00.000
2033594,672918,2,2009-03-23T00:00:00.000
2033599,672918,2,2009-03-23T00:00:00.000
2033623,672918,2,2009-03-23T00:00:00.000
2033695,672939,2,2009-03-23T00:00:00.000
2033709,672939,2,2009-03-23T00:00:00.000
2033713,672982,2,2009-03-23T00:00:00.000
2033714,672982,2,2009-03-23T00:00:00.000
2033729,672918,2,2009-03-23T00:00:00.000
2033995,672918,2,2009-03-23T00:00:00.000
2034112,672918,2,2009-03-23T00:00:00.000
2034206,672986,2,2009-03-23T00:00:00.000
2034268,672918,2,2009-03-23T00:00:00.000
2034308,673193,2,2009-03-23T00:00:00.000
2034322,672939,2,2009-03-23T00:00:00.000
2034527,672939,2,2009-03-23T00:00:00.000
2034571,672939,2,2009-03-23T00:00:00.000
2035571,672918,2,2009-03-23T00:00:00.000
2035647,673193,2,2009-03-23T00:00:00.000
2036093,672982,2,2009-03-23T00:00:00.000
2037642,672982,2,2009-03-23T00:00:00.000
2037643,672986,2,2009-03-23T00:00:00.000
2037656,673193,2,2009-03-23T00:00:00.000
2037800,672939,2,2009-03-23T00:00:00.000
2038239,673193,2,2009-03-23T00:00:00.000
2045097,672918,2,2009-03-24T00:00:00.000
2045234,673193,2,2009-03-24T00:00:00.000
